"","athlete.sex","distance","elapsed_time","average_speed","type","average_heartrate","athlete.country","meters_per_sec","iso3c"
"1","F",21580,8697,3.022,"Ride",151.2,"Ecuador",2.4813153961136,"ECU"
"2","F",8371.3,2953,3.084,"Run",152.5,"United States",2.834845919404,"USA"
"3","F",10697.6,4432,2.416,"Run",126.1,"Germany",2.41371841155235,"DEU"
"4","F",8206.7,1505,5.904,"Ride",137.2,"United Kingdom",5.45295681063123,"GBR"
"5","F",41671.8,6045,7.069,"Ride",157.1,"United Kingdom",6.89359801488834,"GBR"
"6","F",96724.4,11624,9.024,"Ride",153.6,"Norway",8.32109428768066,"NOR"
"7","F",61213.9,8987,7.847,"Ride",133.9,"Nederland",6.81138310893513,NA
"8","F",20914.1,5184,5.669,"Ride",112.4,"United States",4.03435570987654,"USA"
"9","F",3344.5,1204,2.782,"Run",146.6,"Australia",2.77782392026578,"AUS"
"10","F",2696.1,3119,0.864,"Run",130.7,"Spain",0.864411670407182,"ESP"
"11","F",24256.5,4055,5.982,"Ride",164.4,"Canada",5.98187422934649,"CAN"
"12","F",22226.8,3699,6.009,"Ride",151.6,"Norway",6.00886726142201,"NOR"
"13","F",23546.3,5052,6.354,"Ride",139.2,"United Kingdom",4.66078780680918,"GBR"
"14","F",74649.2,14721,7.015,"Ride",151.8,"Hong Kong",5.07093268120372,"HKG"
"15","F",39579,9547,4.714,"Ride",150,"South Africa",4.14570021996439,"ZAF"
"16","F",29872.6,7049,6.92,"Ride",127.2,"Spain",4.23784934033196,"ESP"
"17","F",5152.4,2148,2.399,"Run",148.7,"United States",2.39869646182495,"USA"
"18","F",7253.7,3288,2.682,"Run",135.5,"United States",2.20611313868613,"USA"
"19","F",41987.7,5306,8.308,"Ride",136.1,"United States",7.91324915190351,"USA"
"20","F",25195,5294,4.966,"Ride",156,"United Kingdom",4.75916131469588,"GBR"
"21","F",4599.8,2008,2.919,"Run",145,"United Kingdom",2.29073705179283,"GBR"
"22","F",1852.6,2278,1.519,"Run",92.8,"Australia",0.813257243195786,"AUS"
"23","F",3280.3,1034,3.216,"Run",152,"United States",3.17243713733075,"USA"
"24","F",10168.3,3460,3.296,"Ride",148.1,"Australia",2.93881502890173,"AUS"
"25","F",6004.4,2111,2.852,"Run",166.3,"Canada",2.84433917574609,"CAN"
"26","F",52180.5,10325,5.054,"Ride",135.1,"Slovakia",5.0538014527845,"SVK"
"27","F",10306,3886,2.652,"Run",179.6,"United Kingdom",2.65208440555841,"GBR"
"28","F",37834.9,6596,6.057,"Ride",141.2,"United States",5.73603699211643,"USA"
"29","F",5077,3635,1.457,"Run",105.1,"Australia",1.39669876203576,"AUS"
"30","F",24209.9,10702,2.355,"Run",135.9,"Guernsey",2.26218463838535,"GGY"
"31","F",22072.4,4782,5.802,"Ride",155.7,"United States",4.61572563780845,"USA"
"32","F",100023,16012,7.923,"Ride",140.5,"The Netherlands",6.24675243567324,"NLD"
"33","F",11763.3,5263,2.291,"Run",151.3,"Italy",2.23509405282158,"ITA"
"34","F",6482.3,2386,3.165,"Run",161.8,"United States",2.71680637049455,"USA"
"35","F",68076.4,13915,5.207,"Ride",139,"United States",4.89230326985268,"USA"
"36","F",2701.5,4201,0.643,"Walk",145.1,"Hungary",0.643061175910497,"HUN"
"37","F",75199.8,40401,4.715,"Ride",129.9,"South Korea",1.86133511546744,"KOR"
"38","F",16131.3,5981,2.97,"Run",177,"United States",2.69709078749373,"USA"
"39","F",32231.6,3954,8.961,"Ride",156.7,"United States",8.15164390490642,"USA"
"40","F",19898.8,260955,3.316,"Ride",160.4,"United States",0.076253760226859,"USA"
"41","F",33023.2,5200,6.488,"Ride",137.9,"United Kingdom",6.35061538461538,"GBR"
"42","F",6129.3,2928,2.487,"Run",158,"Australia",2.09334016393443,"AUS"
"43","F",50213.8,11759,4.458,"Ride",139.1,"Australia",4.27024406837316,"AUS"
"44","F",14005.7,7250,2.829,"Run",155.3,"France",1.93182068965517,"FRA"
"45","F",10227.8,3861,2.823,"Run",162.1,"United Kingdom",2.64900284900285,"GBR"
"46","F",10080.2,3386,3.287,"Run",143.3,"España",2.97702303603071,NA
"47","F",54665,12545,4.851,"Ride",149.9,"South Africa",4.35751295336788,"ZAF"
"48","F",7828,2716,3.284,"Run",157.8,"Australia",2.88217967599411,"AUS"
"49","F",8054.8,2220,3.628,"Run",168.6,"United States",3.62828828828829,"USA"
"50","F",7592.4,3893,2.509,"Run",136.9,"United Kingdom",1.95026971487285,"GBR"
"51","F",4334.5,5679,2.23,"Run",144.7,"Japan",0.763250572283853,"JPN"
"52","F",8698.1,4058,2.184,"Run",137.1,"Norway",2.14344504682109,"NOR"
"53","F",54328.8,13233,5.14,"Ride",134,"United States",4.10555429607799,"USA"
"54","F",33821,9421,3.867,"Ride",169.1,"España",3.58995860312069,NA
"55","F",9614.9,3613,2.795,"Run",148.2,"United States",2.66119568225851,"USA"
"56","F",20331.9,3579,6.137,"Ride",110,"Australia",5.68088851634535,"AUS"
"57","F",4835.4,1607,3.377,"Run",173.4,"United Kingdom",3.00896079651525,"GBR"
"58","F",15574.1,5388,2.933,"Run",129.2,"United Kingdom",2.89051596139569,"GBR"
"59","F",2204.1,1615,1.367,"Run",140.4,"United Kingdom",1.36476780185759,"GBR"
"60","F",10666.1,4313,2.565,"Run",106.4,"United Kingdom",2.47301182471598,"GBR"
"61","F",8772,3273,2.776,"Run",150.3,"Schweiz",2.6801099908341,NA
"62","F",23954.6,2879,8.32,"Ride",148.2,"United States",8.32045849253213,"USA"
"63","F",2887,1364,2.123,"Run",142.1,"United Kingdom",2.11656891495601,"GBR"
"64","F",46174.6,5317,9.454,"Ride",158.9,"Australia",8.68433327064134,"AUS"
"65","F",88483.3,20537,6.059,"Ride",134.2,"United States",4.30848225154599,"USA"
"66","F",12056.7,4284,3.797,"Run",179.9,"United Kingdom",2.81435574229692,"GBR"
"67","F",20504.5,4122,5.724,"Ride",125.3,"Canada",4.97440562833576,"CAN"
"68","F",6446.9,2745,2.464,"Run",106.2,"Estados Unidos",2.34859744990893,NA
"69","F",39210.9,7649,5.293,"Ride",150.6,"The Netherlands",5.12627794482939,"NLD"
"70","F",3869.9,5658,1.456,"Ride",71.7,"France",0.683969600565571,"FRA"
"71","F",34341.2,15817,5.318,"Ride",128.7,"Germany",2.17115761522413,"DEU"
"72","F",7746.3,4128,2.476,"NordicSki",144.1,"United States",1.8765261627907,"USA"
"73","F",5811.5,2826,2.326,"Run",141.9,"Germany",2.05644019815994,"DEU"
"74","F",6345.9,2205,2.878,"Run",170.3,"Spain",2.87795918367347,"ESP"
"75","F",5253.2,1620,3.243,"Run",141,"Australia",3.24271604938272,"AUS"
"76","F",5235.4,965,5.779,"Ride",173.1,"France",5.42528497409326,"FRA"
"77","F",13940.9,1801,7.741,"Ride",134.2,"United States",7.74064408661854,"USA"
"78","F",55338.7,10487,5.277,"Ride",185.3,"Sverige",5.27688566796987,NA
"79","F",12835.9,4254,8.002,"Ride",150.1,"United Kingdom",3.01737188528444,"GBR"
"80","F",8598.6,4357,2.879,"Run",135.5,"United States",1.97351388570117,"USA"
"81","F",1785.9,559,3.295,"Run",162.8,"Brasil",3.19481216457961,NA
"82","F",3957.1,1344,2.953,"Run",153.8,"Canada",2.94427083333333,"CAN"
"83","F",46427.4,8777,7.025,"Ride",142.5,"España",5.28966617295203,NA
"84","F",1014.9,368,2.758,"Run",138.2,"United States",2.75788043478261,"USA"
"85","F",6666,3797,2.345,"Run",143.4,"United Kingdom",1.75559652357124,"GBR"
"86","F",35422.6,13372,6.559,"Ride",139.9,"Chile",2.64901286269818,"CHL"
"87","F",21406.9,4307,4.97,"Ride",132.1,"United States",4.97025771999071,"USA"
"88","F",5595.1,2861,2.877,"Run",157.6,"United Kingdom",1.95564487941279,"GBR"
