"","athlete.sex","distance","elapsed_time","average_speed","type","average_heartrate","athlete.country","meters_per_sec","iso3c"
"1","F",21580,8697,3.022,"Ride",151.2,"Ecuador",2.4813153961136,"ECU"
"2","M",24438.8,5342,4.675,"Ride",135.9,"Lithuania",4.57484088356421,"LTU"
"3","M",33632.8,5722,6.685,"Ride",143,"United Kingdom",5.87780496329955,"GBR"
"4","M",28765.1,4855,6.124,"Ride",150.5,"United Kingdom",5.9248403707518,"GBR"
"5","M",69559.8,7946,9.249,"Ride",147.1,"Australia",8.75406493833375,"AUS"
"6","F",8371.3,2953,3.084,"Run",152.5,"United States",2.834845919404,"USA"
"7","M",48415.5,52457,7.18,"Ride",127.8,"United States",0.922955944869131,"USA"
"8","M",6042.5,2097,2.881,"Run",184.5,"United States",2.88149737720553,"USA"
"9","M",40770.9,37782,7.503,"Ride",140.2,"United Kingdom",1.07910909957122,"GBR"
"11","F",10697.6,4432,2.416,"Run",126.1,"Germany",2.41371841155235,"DEU"
"12","M",16009.5,4917,3.296,"Run",153.5,"Spain",3.25594874923734,"ESP"
"13","M",39429,5697,7.47,"Ride",132.2,"United States",6.92101105845182,"USA"
"14","M",48252.3,10183,5.672,"Ride",134.2,"Nederland",4.73851517234607,NA
"15","M",74454.8,137935,5.678,"Ride",151.8,"Taiwan",0.539781781273788,"TWN"
"16","M",49556.6,6010,8.358,"Ride",160.1,"United Kingdom",8.24569051580699,"GBR"
"17","M",31972,4629,6.944,"Ride",151.4,"Spain",6.90689133722186,"ESP"
"18","M",30045.5,3751,8.01,"Ride",137.4,"Italia",8.00999733404426,NA
"19","F",8206.7,1505,5.904,"Ride",137.2,"United Kingdom",5.45295681063123,"GBR"
"20","M",13720.3,1228,11.173,"Ride",174.3,"United Kingdom",11.1728827361564,"GBR"
"21","M",7214,12212,1.075,"Walk",106.3,"United States",0.590730429086145,"USA"
"22","F",41671.8,6045,7.069,"Ride",157.1,"United Kingdom",6.89359801488834,"GBR"
"23","M",7513.6,1841,4.174,"Run",162.3,"United States",4.08126018468224,"USA"
"24","F",96724.4,11624,9.024,"Ride",153.6,"Norway",8.32109428768066,"NOR"
"25","F",61213.9,8987,7.847,"Ride",133.9,"Nederland",6.81138310893513,NA
"26","F",20914.1,5184,5.669,"Ride",112.4,"United States",4.03435570987654,"USA"
"27","M",5895.2,3706,2.338,"Ride",181.7,"United States",1.5907177549919,"USA"
"28","F",3344.5,1204,2.782,"Run",146.6,"Australia",2.77782392026578,"AUS"
"29","F",2696.1,3119,0.864,"Run",130.7,"Spain",0.864411670407182,"ESP"
"30","M",8958.7,3384,3.001,"Run",145.9,"France",2.64736997635934,"FRA"
"31","M",12237.1,4181,2.952,"Run",148.6,"Germany",2.92683568524276,"DEU"
"32","M",23045,3601,6.4,"Ride",121.8,"United States",6.3996112191058,"USA"
"33","M",21884.4,3447,6.349,"Ride",109.6,"Australia",6.34882506527415,"AUS"
"34","F",24256.5,4055,5.982,"Ride",164.4,"Canada",5.98187422934649,"CAN"
"35","M",19997.9,3746,5.364,"Ride",134.4,"United States",5.3384676988788,"USA"
"36","F",22226.8,3699,6.009,"Ride",151.6,"Norway",6.00886726142201,"NOR"
"37","M",25107.3,38618,6.968,"Ride",137.9,"United States",0.650145010098918,"USA"
"38","M",100177,14393,7.012,"Ride",123.7,"Switzerland",6.96011950253595,"CHE"
"39","F",23546.3,5052,6.354,"Ride",139.2,"United Kingdom",4.66078780680918,"GBR"
"40","M",22796,8950,4.416,"Ride",142.7,"Taiwan",2.54703910614525,"TWN"
"41","F",74649.2,14721,7.015,"Ride",151.8,"Hong Kong",5.07093268120372,"HKG"
"42","F",39579,9547,4.714,"Ride",150,"South Africa",4.14570021996439,"ZAF"
"43","M",20646.1,4205,6.258,"Ride",121.9,"Belgium",4.90989298454221,"BEL"
"44","F",29872.6,7049,6.92,"Ride",127.2,"Spain",4.23784934033196,"ESP"
"45","F",5152.4,2148,2.399,"Run",148.7,"United States",2.39869646182495,"USA"
